Title,Product #,Released,Lowest,Average,Highest,URL,category
Nne Barbie,B3423,2004,70,14.0,226,https://www.barbiedb.com/wp-content/uploads/2020/05/nne-barbie.jpg,
Libra Barbie,C3824,2004,4,14.0,40,https://www.barbiedb.com/wp-content/uploads/2020/05/libra-barbie.jpg,horoscopes
Fashion Fever Drew Doll,G9010,2004,45,70.0,76,https://www.barbiedb.com/wp-content/uploads/2020/05/fashion-fever-drew-doll-g9010.jpg,fashion_beauty
Barbie School Cool Teresa,29185,2000,14,70.0,31,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-school-cool-teresa.jpg,
Armani Barbie,B2521,2003,49,70.0,400,https://www.barbiedb.com/wp-content/uploads/2020/05/armani-barbie.jpg,fashion_beauty
Birthday Party Barbie,3388,1992,1,70.0,70,https://www.barbiedb.com/wp-content/uploads/2022/07/3388-1992-birthday-party-barbie-751x1024.jpg,special_occasion
Winter Fantasy Barbie,17666,1996,1,70.0,24,https://www.barbiedb.com/wp-content/uploads/2021/07/17666-winter-fantasy-632x1024.jpg,holiday
Barbie as Wonder Woman,24638,1999,19,54.0,151,https://www.barbiedb.com/wp-content/uploads/2021/08/24638-wonder-woman-673x1024.jpg,movie_show_chars
Winter Classic Barbie,50247,2001,4,54.0,49,https://www.barbiedb.com/wp-content/uploads/2021/07/50247-2001-winter-classic-barbie-737x1024.jpg,holiday
Shanghai Barbie Doll,N0769,2008,80,54.0,182,https://www.barbiedb.com/wp-content/uploads/2020/05/shanghai-barbie-doll.jpg,city_girl
Roller Skating Ken,1881,1980,20,54.0,300,https://www.barbiedb.com/wp-content/uploads/2020/05/roller-skating-ken.jpg,ken
Hills Sea Pearl Mermaid Barbie,13940,1995,21,54.0,205,https://www.barbiedb.com/wp-content/uploads/2020/05/hills-sea-pearl-mermaid-barbie-602x1024.jpg,birth_stone
Happy Holidays Barbie 1993,10824,1993,1,25.0,301,https://www.barbiedb.com/wp-content/uploads/2020/05/happy-holidays-barbie-1993.jpg,holiday
Galadriel in The Lord of the Rings: The Fellowship of the Ring,H1179,2004,35,25.0,135,https://www.barbiedb.com/wp-content/uploads/2020/05/galadriel-in-the-lord-of-the-rings-the-fellowship-of-the-ring.jpg,special_occasion
Empress Sissy Barbie,15846,1996,9,25.0,66,https://www.barbiedb.com/wp-content/uploads/2020/05/empress-sissy-barbie.jpg,royals
Barbie President 2000,26288,2000,1,25.0,36,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-president-2000-2.jpg,careers
Barbie Paris Pretty Fashions,6558,1989,24,25.0,223,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-paris-pretty-fashions-739x1024.jpg,fashion_beauty
Barbie Fashion Avenue Lifestyles In-Line Skater Outfit,23022,1999,9,22.0,50,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-fashion-avenue-lifestyles-in-line-skater-outfit.jpg,fashion_beauty
Barbie 2014 Holiday Doll with Ornament,BDH21,2014,6,22.0,50,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-2014-holiday-doll-with-ornament.jpg,holiday
Winter Fantasy Barbie,15334,1995,1,22.0,36,https://www.barbiedb.com/wp-content/uploads/2022/04/15334-1995-winter-fantasy-barbie.jpg,holiday
Shopping Chic Barbie – Spiegel,15801,1995,14,22.0,71,https://www.barbiedb.com/wp-content/uploads/2022/03/15801-1995-shopping-chic-barbie-spiegel-1024x856.jpg,fashion_beauty
Walt Disney World Barbie,16525,1996,3,22.0,53,https://www.barbiedb.com/wp-content/uploads/2021/07/16525-1996-walt-disney-world-barbie-458x1024.jpg,movie_show_chars
Midnight Princess Barbie,17780,1997,6,19.0,65,https://www.barbiedb.com/wp-content/uploads/2020/05/midnight-princess-barbie.jpg,movie_show_chars
Czechoslovakian Barbie,7330,1991,5,19.0,75,https://www.barbiedb.com/wp-content/uploads/2020/05/czechoslovakian-barbie.jpg,nationalities
Barbie Krissy Swing ‘n Play with AA Baby Krissy Doll,54218,2001,99,19.0,125,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-krissy-swing-n-play-with-aa-baby-krissy-doll.jpg,
Barbie is Eternal Barbie,W3497,2012,190,19.0,320,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-is-eternal-barbie-w3497.jpg,
Barbie China,W3323,2011,18,19.0,56,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-china-572x1024.jpg,nationalities
Barbie & The Diamond Castle Princess Liana Doll,M0785,2008,26,66.0,76,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-the-diamond-castle-princess-liana-doll-m0785.jpg,movie_show_chars
Gymnast Barbie,12127,1993,5,66.0,37,https://www.barbiedb.com/wp-content/uploads/2021/08/12127-gymnast-1024x911.jpg,careers
Ken as The Tin Man in The Wizard of Oz,14902,1995,3,66.0,40,https://www.barbiedb.com/wp-content/uploads/2021/07/14902-1995-ken-as-the-tin-man-in-the-wizard-of-oz-821x1024.jpg,movie_show_chars
"Kelly Doll and Friends, The Wizard of Oz Giftset",B2516,2003,21,66.0,51,https://www.barbiedb.com/wp-content/uploads/2021/05/kelly-doll-and-friends-the-wizard-of-oz-giftset.jpg,sets
University of Texas Cheerleader Barbie,17792,1996,6,66.0,45,https://www.barbiedb.com/wp-content/uploads/2021/08/17792-1996-university-of-texas-cheerleader-barbie.jpg,careers
Winter Dazzle Barbie,18456,1997,3,15.0,31,https://www.barbiedb.com/wp-content/uploads/2021/07/18456-1997-winter-dazzle-barbie-679x1024.jpg,holiday
Hollywood Legends Ken as Henry Higgins in My Fair Lady,15499,1995,9,15.0,221,https://www.barbiedb.com/wp-content/uploads/2020/05/hollywood-legends-ken-as-henry-higgins-in-my-fair-lady.jpg,ken
Happy Holidays Barbie AA,10911,1993,8,15.0,46,https://www.barbiedb.com/wp-content/uploads/2020/05/happy-holidays-barbie-aa-2.jpg,holiday
Grolier Secret of the Three Teardrops Barbie,24022,1999,10,15.0,120,https://www.barbiedb.com/wp-content/uploads/2020/05/grolier-secret-of-the-three-teardrops-barbie.jpg,
Emerald Enchantment Barbie,17443,1996,5,15.0,40,https://www.barbiedb.com/wp-content/uploads/2020/05/emerald-enchantment-barbie.jpg,limited_edition
Barbie Princess Anneliese,B5768,2004,50,116.0,240,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-princess-anneliese.jpg,movie_show_chars
Barbie Fashionistas Gown Sweetie Doll,T7415,2010,24,116.0,70,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-fashionistas-gown-sweetie-doll.jpg,fashion_beauty
Winter Fantasy Barbie,17249,1996,1,116.0,22,https://www.barbiedb.com/wp-content/uploads/2021/07/17249-1996-winter-fantasy-barbie-667x1024.jpg,holiday
Diana Ross by Bob Mackie,B2017,2003,80,116.0,321,https://www.barbiedb.com/wp-content/uploads/2020/05/diana-ross-by-bob-mackie.jpg,Bob Mackie
Winter Fantasy Barbie,15530,1995,1,116.0,32,https://www.barbiedb.com/wp-content/uploads/2021/08/15530-winter-fantasy-750x1024.jpg,holiday
Whispering Wind Barbie,22834,1998,15,35.0,51,https://www.barbiedb.com/wp-content/uploads/2021/07/22834-1998-whispering-wind-barbie-799x1024.jpg,collector_edition
Barbie Traveling Sisters Gift Set,14073,1995,29,35.0,85,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-traveling-sisters-gift-set.jpg,sets
Mattel Barbie As The Island Princess Princess Rosella,K8103,2007,65,35.0,203,https://www.barbiedb.com/wp-content/uploads/2020/05/mattel-barbie-as-the-island-princess-princess-rosella.jpg,movie_show_chars
Holiday Treasures Barbie 2001,52682,2001,44,35.0,150,https://www.barbiedb.com/wp-content/uploads/2020/05/holiday-treasures-barbie-2001.jpg,holiday
Cracker Barrel Country Charm Barbie,26464,2000,4,35.0,29,https://www.barbiedb.com/wp-content/uploads/2022/03/26464-2000-cracker-barrel-country-charm-barbie.jpg,
Wedding Day Barbie,17119,1996,5,19.0,40,https://www.barbiedb.com/wp-content/uploads/2021/06/wedding-day-barbie-blonde-1960-fashion-and-doll-reproduction-565x1024.jpg,special_occasion
My Scene River,B6696,2003,17,19.0,33,https://www.barbiedb.com/wp-content/uploads/2021/06/my-scene-river-810x1024.jpg,
Snow White Barbie,21130,1999,10,19.0,40,https://www.barbiedb.com/wp-content/uploads/2020/05/snow-white-barbie.jpg,movie_show_chars
Ken Fashion Avenue Student Sweater Outfit,18099,1997,12,19.0,37,https://www.barbiedb.com/wp-content/uploads/2022/11/18099-1997-ken-fashion-avenue-student-sweater-outfit-661x1024.jpg,fashion_beauty
The Munsters Giftset,50544,2001,187,19.0,300,https://www.barbiedb.com/wp-content/uploads/2022/03/50544-2001-the-munsters-giftset.jpg,sets
"Winter Moon, from Disney’s Pocahontas",23964,1999,24,39.0,70,https://www.barbiedb.com/wp-content/uploads/2021/07/23964-23964-winter-moon-from-disneys-pocahontas-683x1024.jpg,movie_show_chars
Polish Barbie,18560,1998,25,39.0,50,https://www.barbiedb.com/wp-content/uploads/2020/05/polish-barbie.jpg,nationalities
Fashion Fever Drew Doll,H0655,2004,46,39.0,90,https://www.barbiedb.com/wp-content/uploads/2020/05/fashion-fever-drew-doll-h0655.jpg,fashion_beauty
Barbie Goldilocks and the Three Bears Kelly Storybook Collectible,28535,2000,3,39.0,51,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-goldilocks-and-the-three-bears-kelly-storybook-collectible.jpg,movie_show_chars
Barbie Collectibles Hansel & Gretel Collector Edition,28535,2000,3,39.0,51,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-collectibles-hansel-gretel-collector-edition.jpg,movie_show_chars
Barbie Halloween Enchantress,B6269,2003,4,16.0,36,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-halloween-enchantress.jpg,holiday
Byron Lars Coco Barbie,K7940,2007,100,16.0,1101,https://www.barbiedb.com/wp-content/uploads/2020/05/byron-lars-coco-barbie.jpg,collector_edition
Yuletide Romance Barbie,15621,1996,1,16.0,45,https://www.barbiedb.com/wp-content/uploads/2021/07/15621-1996-yuletide-romance-barbie-1024x1001.jpg,
Golden Anniversary Barbie,20038,1998,14,16.0,80,https://www.barbiedb.com/wp-content/uploads/2020/05/golden-anniversary-barbie.jpg,special_occasion
Tribal Beauty Barbie,X8262,2012,179,16.0,300,https://www.barbiedb.com/wp-content/uploads/2021/09/x8262-2012-tribal-beauty-barbie.jpg,fashion_beauty
Supergirl Barbie Doll,L9639,2008,50,115.0,199,https://www.barbiedb.com/wp-content/uploads/2020/05/supergirl-barbie-doll.jpg,movie_show_chars
Haut Monde Barbie,L9604,2008,180,115.0,604,https://www.barbiedb.com/wp-content/uploads/2020/05/haut-monde-barbie.jpg,
Barbie and The Magic of Pegasus Prince Aidan,G8403,2005,8,115.0,42,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-and-the-magic-of-pegasus-prince-aidan.jpg,movie_show_chars
