,Title,Product #,Released,Lowest,Average,Highest,URL
148,Barbie Goldilocks and the Three Bears Kelly Storybook Collectible,28535,2000,3,39,51,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-goldilocks-and-the-three-bears-kelly-storybook-collectible.jpg
149,Barbie Collectibles Hansel & Gretel Collector Edition,28535,2000,3,39,51,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-collectibles-hansel-gretel-collector-edition.jpg
150,Barbie Halloween Enchantress,B6269,2003,4,16,36,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-halloween-enchantress.jpg
151,Byron Lars Coco Barbie,K7940,2007,100,16,1101,https://www.barbiedb.com/wp-content/uploads/2020/05/byron-lars-coco-barbie.jpg
152,Yuletide Romance Barbie,15621,1996,1,16,45,https://www.barbiedb.com/wp-content/uploads/2021/07/15621-1996-yuletide-romance-barbie-1024x1001.jpg
153,Golden Anniversary Barbie,20038,1998,14,16,80,https://www.barbiedb.com/wp-content/uploads/2020/05/golden-anniversary-barbie.jpg
154,Tribal Beauty Barbie,X8262,2012,179,16,300,https://www.barbiedb.com/wp-content/uploads/2021/09/x8262-2012-tribal-beauty-barbie.jpg
155,Supergirl Barbie Doll,L9639,2008,50,115,199,https://www.barbiedb.com/wp-content/uploads/2020/05/supergirl-barbie-doll.jpg
156,Haut Monde Barbie,L9604,2008,180,115,604,https://www.barbiedb.com/wp-content/uploads/2020/05/haut-monde-barbie.jpg
157,Barbie and The Magic of Pegasus Prince Aidan,G8403,2005,8,115,42,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-and-the-magic-of-pegasus-prince-aidan.jpg
158,Barbie 2003,B0144,2003,4,115,300,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-2003.jpg
159,France Barbie,N4972,2009,17,115,50,https://www.barbiedb.com/wp-content/uploads/2020/05/france-barbie.jpg
160,Bewitched and Bejeweled Halloween Barbie,BBV49,2013,5,21,29,https://www.barbiedb.com/wp-content/uploads/2020/05/bewitched-and-bejeweled-halloween-barbie.jpg
161,Taurus Barbie,C6241,2004,1,21,55,https://www.barbiedb.com/wp-content/uploads/2021/07/c6241-2004-taurus-barbie-614x1024.jpg
162,Ballet Wishes Barbie,X8276,2013,20,21,156,https://www.barbiedb.com/wp-content/uploads/2020/05/ballet-wishes-barbie-x8276.jpg
163,University of Iowa Hawkeyes Cheerleader Barbie,20367,1996,16,21,26,https://www.barbiedb.com/wp-content/uploads/2021/08/20367-iowa-hawkeyes-university.jpg
164,On Location: Milan Barbie,J0962,2006,132,21,341,https://www.barbiedb.com/wp-content/uploads/2020/05/on-location-milan-barbie.jpg
165,Barbie and Her Wig Wardrobe,R9524,2010,40,192,223,https://www.barbiedb.com/wp-content/uploads/2020/05/barbie-and-her-wig-wardrobe.jpg
166,Avon Rose Splendor Barbie Doll AA,V7125,2010,24,192,71,https://www.barbiedb.com/wp-content/uploads/2020/05/avon-rose-splendor-barbie-doll-aa.jpg
167,Kitty Corner Francie Doll,W3469,2012,35,192,300,https://www.barbiedb.com/wp-content/uploads/2020/05/kitty-corner-francie-doll.jpg
